Particulate Matter 2.5 Micrometers in Diameter and Smaller (PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Emissions Totals (thousands of tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FUEL COMB. ELEC. UTIL.,121,105,106,112,108,107,157,161,130,621,587,584,506,506,506,506,502,321,321,212,211,205,174,165,182,134,130,107,123,95,85,109,90,81,81
FUEL COMB. INDUSTRIAL,177,151,159,172,183,203,152,148,147,258,260,267,252,251,265,263,213,224,219,196,205,208,210,212,193,184,186,185,178,176,254,244,244,243,243
FUEL COMB. OTHER,611,638,662,568,550,589,356,356,354,400,447,449,345,361,368,384,332,364,404,430,456,443,375,480,482,428,376,364,438,455,513,511,514,514,514
CHEMICAL & ALLIED PRODUCT MFG,47,43,45,41,49,42,39,39,40,45,46,47,30,30,29,29,21,21,21,19,17,17,17,15,14,14,14,15,15,14,13,14,13,13,13
METALS PROCESSING,157,197,198,125,125,134,101,106,105,115,118,125,53,53,60,60,64,64,64,48,48,48,48,41,44,40,34,35,35,33,27,30,30,30,30
PETROLEUM & RELATED INDUSTRIES,27,24,24,22,22,22,17,17,17,27,27,28,32,34,34,35,36,33,35,31,27,29,31,26,28,25,25,24,23,22,21,25,23,23,23
OTHER INDUSTRIAL PROCESSES,284,264,259,260,256,256,180,186,189,245,254,264,294,294,326,326,317,316,316,291,282,281,281,273,273,273,299,297,296,297,352,349,347,347,347
SOLVENT UTILIZATION,4,4,5,6,6,5,5,5,5,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,4,4,4
STORAGE & TRANSPORT,42,42,50,46,43,42,30,31,31,41,42,44,23,23,25,25,22,22,22,21,21,21,21,20,17,17,17,13,14,14,13,14,13,13,13
WASTE DISPOSAL & RECYCLING,234,238,239,288,271,247,427,439,459,440,333,334,202,202,202,202,202,202,202,202,202,203,203,203,203,203,202,203,203,203,227,227,227,227,227
HIGHWAY VEHICLES,323,308,292,276,261,245,229,216,199,184,173,157,340,337,331,317,311,268,252,227,237,201,182,170,151,132,115,101,90,96,79,75,71,69,67
OFF-HIGHWAY,300,303,305,307,309,311,313,309,304,307,295,290,272,270,258,255,242,228,214,199,190,181,172,165,159,150,137,132,126,120,105,103,99,96,93
MISCELLANEOUS,"5,233","5,003","4,854","4,926","5,359","4,726","4,721","4,244","4,280","4,511","4,688","4,390","2,651","3,078","2,903","3,054","2,969","3,227","2,923","2,848","2,719","3,105","3,016","2,624","2,640","3,068","3,333","4,049","4,064","2,914","4,128","5,273","5,842","3,433","3,433"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"7,560","7,320","7,198","7,149","7,542","6,929","6,724","6,256","6,261","7,211","7,288","6,996","5,000","5,439","5,307","5,456","5,231","5,290","4,992","4,723","4,616","4,943","4,729","4,394","4,386","4,667","4,872","5,524","5,606","4,440","5,821","6,978","7,519","5,095","5,090"
Miscellaneous,"5,233","5,003","4,854","4,926","5,359","4,726","4,721","4,244","4,280","4,511","4,688","4,390","2,651","3,078","2,903","3,054","2,969","3,227","2,923","2,848","2,719","3,105","3,016","2,624","2,640","3,068","3,333","4,049","4,064","2,914","4,128","5,273","5,842","3,433","3,433"
Total without miscellaneous,"2,327","2,317","2,344","2,223","2,183","2,203","2,003","2,012","1,981","2,700","2,600","2,606","2,349","2,361","2,403","2,402","2,262","2,063","2,069","1,875","1,897","1,838","1,713","1,770","1,745","1,599","1,539","1,476","1,542","1,525","1,694","1,705","1,677","1,662","1,657"
Wildfires,,,,,,,,,,,,,557,828,497,494,496,668,373,354,160,468,506,249,272,789,840,"1,186","1,262",309,"1,676","2,399","2,896",504,504
Total without wildfires,,,,,,,,,,,,,"4,443","4,611","4,810","4,962","4,735","4,622","4,619","4,368","4,456","4,475","4,223","4,145","4,113","3,877","4,032","4,339","4,343","4,131","4,146","4,578","4,623","4,591","4,585"
Miscellaneous without wildfires,,,,,,,,,,,,,"2,094","2,250","2,406","2,560","2,474","2,559","2,550","2,494","2,559","2,637","2,510","2,375","2,368","2,279","2,493","2,863","2,802","2,606","2,452","2,873","2,946","2,929","2,929"