Entity,Code,Year,Oil price - Crude prices since 1861 (constant 2024 US$)
World,OWID_WRL,1861,113.22834
World,OWID_WRL,1862,212.52087
World,OWID_WRL,1863,510.78357
World,OWID_WRL,1864,1044.3644
World,OWID_WRL,1865,823.60736
World,OWID_WRL,1866,479.5677
World,OWID_WRL,1867,331.65366
World,OWID_WRL,1868,519.8455
World,OWID_WRL,1869,543.7703
World,OWID_WRL,1870,602.1625
World,OWID_WRL,1871,723.3608
World,OWID_WRL,1872,606.6897
World,OWID_WRL,1873,311.32217
World,OWID_WRL,1874,209.13837
World,OWID_WRL,1875,250.38544
World,OWID_WRL,1876,486.22952
World,OWID_WRL,1877,470.5072
World,OWID_WRL,1878,242.84961
World,OWID_WRL,1879,175.50476
World,OWID_WRL,1880,189.17638
World,OWID_WRL,1881,171.2544
World,OWID_WRL,1882,155.32376
World,OWID_WRL,1883,203.23463
World,OWID_WRL,1884,174.30736
World,OWID_WRL,1885,186.33038
World,OWID_WRL,1886,153.63156
World,OWID_WRL,1887,143.40385
World,OWID_WRL,1888,188.35132
World,OWID_WRL,1889,207.96007
World,OWID_WRL,1890,194.65591
World,OWID_WRL,1891,149.90742
World,OWID_WRL,1892,125.29575
World,OWID_WRL,1893,144.8373
World,OWID_WRL,1894,198.76054
World,OWID_WRL,1895,329.70947
World,OWID_WRL,1896,286.07144
World,OWID_WRL,1897,193.90454
World,OWID_WRL,1898,223.3584
World,OWID_WRL,1899,316.6289
World,OWID_WRL,1900,288.4958
World,OWID_WRL,1901,229.91165
World,OWID_WRL,1902,189.29575
World,OWID_WRL,1903,217.46819
World,OWID_WRL,1904,196.65482
World,OWID_WRL,1905,143.43646
World,OWID_WRL,1906,165.20505
World,OWID_WRL,1907,155.9664
World,OWID_WRL,1908,159.28856
World,OWID_WRL,1909,156.6197
World,OWID_WRL,1910,130.70348
World,OWID_WRL,1911,130.70348
World,OWID_WRL,1912,155.35341
World,OWID_WRL,1913,195.28519
World,OWID_WRL,1914,164.95982
World,OWID_WRL,1915,129.66953
World,OWID_WRL,1916,204.01776
World,OWID_WRL,1917,240.13391
World,OWID_WRL,1918,259.45206
World,OWID_WRL,1919,229.28036
World,OWID_WRL,1920,302.3135
World,OWID_WRL,1921,190.72604
World,OWID_WRL,1922,189.4566
World,OWID_WRL,1923,154.91313
World,OWID_WRL,1924,165.0277
World,OWID_WRL,1925,189.12297
World,OWID_WRL,1926,209.60492
World,OWID_WRL,1927,147.69319
World,OWID_WRL,1928,134.7862
World,OWID_WRL,1929,146.30638
World,OWID_WRL,1930,140.6201
World,OWID_WRL,1931,84.22294
World,OWID_WRL,1932,125.68559
World,OWID_WRL,1933,102.02033
World,OWID_WRL,1934,147.37926
World,OWID_WRL,1935,139.41777
World,OWID_WRL,1936,155.19588
World,OWID_WRL,1937,162.16028
World,OWID_WRL,1938,158.26482
World,OWID_WRL,1939,144.9155
World,OWID_WRL,1940,143.46945
World,OWID_WRL,1941,152.72813
World,OWID_WRL,1942,144.0709
World,OWID_WRL,1943,136.8838
World,OWID_WRL,1944,135.67181
World,OWID_WRL,1945,115.11548
World,OWID_WRL,1946,113.11245
World,OWID_WRL,1947,167.83687
World,OWID_WRL,1948,163.08481
World,OWID_WRL,1949,147.28162
World,OWID_WRL,1950,140.1382
World,OWID_WRL,1951,129.88945
World,OWID_WRL,1952,127.10086
World,OWID_WRL,1953,142.38048
World,OWID_WRL,1954,141.69188
World,OWID_WRL,1955,142.22098
World,OWID_WRL,1956,140.08461
World,OWID_WRL,1957,133.44795
World,OWID_WRL,1958,142.20927
World,OWID_WRL,1959,140.78636
World,OWID_WRL,1960,126.75488
World,OWID_WRL,1961,118.811424
World,OWID_WRL,1962,117.404015
World,OWID_WRL,1963,115.96642
World,OWID_WRL,1964,114.502045
World,OWID_WRL,1965,112.71532
World,OWID_WRL,1966,109.41633
World,OWID_WRL,1967,106.4643
World,OWID_WRL,1968,102.102684
World,OWID_WRL,1969,96.814316
World,OWID_WRL,1970,91.47383
World,OWID_WRL,1971,109.148605
World,OWID_WRL,1972,117.01407
World,OWID_WRL,1973,146.20047
World,OWID_WRL,1974,463.3659
World,OWID_WRL,1975,422.71573
World,OWID_WRL,1976,443.78226
World,OWID_WRL,1977,453.1508
World,OWID_WRL,1978,424.0473
World,OWID_WRL,1979,859.3564
World,OWID_WRL,1980,881.7926
World,OWID_WRL,1981,779.66815
World,OWID_WRL,1982,674.105
World,OWID_WRL,1983,585.3748
World,OWID_WRL,1984,546.6141
World,OWID_WRL,1985,505.51892
World,OWID_WRL,1986,259.75183
World,OWID_WRL,1987,320.11502
World,OWID_WRL,1988,248.99164
World,OWID_WRL,1989,290.08484
World,OWID_WRL,1990,358.2779
World,OWID_WRL,1991,289.75784
World,OWID_WRL,1992,271.6768
World,OWID_WRL,1993,231.8019
World,OWID_WRL,1994,210.55025
World,OWID_WRL,1995,220.32979
World,OWID_WRL,1996,259.99207
World,OWID_WRL,1997,234.6824
World,OWID_WRL,1998,153.90936
World,OWID_WRL,1999,212.85115
World,OWID_WRL,2000,326.4963
World,OWID_WRL,2001,272.37637
World,OWID_WRL,2002,274.47885
World,OWID_WRL,2003,309.2229
World,OWID_WRL,2004,399.70905
World,OWID_WRL,2005,550.82886
World,OWID_WRL,2006,637.5851
World,OWID_WRL,2007,688.8439
World,OWID_WRL,2008,891.25726
World,OWID_WRL,2009,567.1743
World,OWID_WRL,2010,719.3025
World,OWID_WRL,2011,975.87164
World,OWID_WRL,2012,959.64557
World,OWID_WRL,2013,920.28796
World,OWID_WRL,2014,824.64984
World,OWID_WRL,2015,436.0918
World,OWID_WRL,2016,359.52786
World,OWID_WRL,2017,436.21097
World,OWID_WRL,2018,560.30975
World,OWID_WRL,2019,495.54608
World,OWID_WRL,2020,318.95352
World,OWID_WRL,2021,516.33813
World,OWID_WRL,2022,683.0858
World,OWID_WRL,2023,535.13525
World,OWID_WRL,2024,507.96426